text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName
Bioinformatics developers at #ISMB: at BSI SIG add your tool to @cytoscape, @galaxyproject, @genepattern, @genomespace  http://t.co/D7zLIdNE,FALSE,NA,2012-07-13 23:55:00,FALSE,NA,223928547658563586,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
RT @BSI_SIG_2012: Bioinformatics developers at #ISMB: at BSI SIG add your tool to @cytoscape, @galaxyproject, @genepattern, @genomespace  http://t.co/jCZSUAAp,FALSE,NA,2012-07-13 23:53:53,FALSE,NA,223928264178147328,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,gawbul
Hooray! First #comicsans talk of the conference. Didn't take long. It's like an old friend that refuses to die. #ismb,FALSE,NA,2012-07-13 23:52:48,FALSE,NA,223927992756355072,NA,&lt;a href=&quot;http://seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,froggleston
RT @phylogenomics: Slides from my talk for #SCS2012 at #ISMB "Networks in genomics &amp; bioinformatics: from phylogeny to Twitter" http://t.co/csHUb3ps,FALSE,NA,2012-07-13 23:51:57,FALSE,NA,223927777508864001,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,gawbul
RT @Chris_Evelo: Kitana explaining we *need* interoperable software because you can never develop a system that does everything #ISMB #netbiosig,FALSE,NA,2012-07-13 23:47:45,FALSE,NA,223926722968555520,NA,&lt;a href=&quot;http://blackberry.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;,FGED
CS: The complexity for Wij is 2**(N**2), which is intractable. One strategy is to avoid it is to use Belief Propagation. #ismb,FALSE,NA,2012-07-13 23:46:27,FALSE,NA,223926394344833024,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
Often forgotten: CS Optimizing (network) models only makes sense when you keep the model simple to not overfit #ISMB #netbiosiig,FALSE,NA,2012-07-13 23:44:39,FALSE,NA,223925941041238016,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
Slideshow w/ audio from my talk at #SCS2012 #ISMB: http://t.co/MYMXnbYK "Networks in genomics &amp; bioinformatics: from phylogeny to Twitter",FALSE,NA,2012-07-13 23:43:26,FALSE,NA,223925635846909953,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,phylogenomics
CS: Use dynamatic network models with low errors and simple ones that can discover patterns de novo instead of relying on literatures. #ismb,FALSE,NA,2012-07-13 23:42:16,FALSE,NA,223925342732161025,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
CS: ~60% of ISMB -like papers are clamming to be better than alternatives, but after the publications, they are forgotten. #ismb,FALSE,NA,2012-07-13 23:39:43,FALSE,NA,223924699686649856,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
CS:The challenge is to develop network pharmacology and personalized therapy based on new measurements such MS, NGS... #ismb,FALSE,NA,2012-07-13 23:36:01,FALSE,NA,223923770841235456,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
CS: "do experiments" #ISMB #netbiosig,FALSE,NA,2012-07-13 23:35:35,FALSE,NA,223923659524423680,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,bffo
Oliver Voggenreiter: biclustering of binary expression data via BBK, 100x faster than BiMax algorithm. #ismb #scs2012,FALSE,NA,2012-07-13 23:35:24,FALSE,NA,223923615417122816,NA,&lt;a href=&quot;http://twitter.com/download/android&quot; rel=&quot;nofollow&quot;&gt;Twitter for Android&lt;/a&gt;,iscbsc
CS new drugs should influence pathways as a whole to be effective (network therapy) or we should use personalized medicine #ISMB #netbiosig,FALSE,NA,2012-07-13 23:34:55,FALSE,NA,223923492679192576,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
CS: For example, brain cancer GBM is not caused by a single molecule but by a set of genes forming modules. #ismb,FALSE,NA,2012-07-13 23:33:48,FALSE,NA,223923213141413890,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
Chris Sander showing that CNV cancer types are really different between cancer types (in part just tissue difference) #ISMB #netbiosig,FALSE,NA,2012-07-13 23:30:51,FALSE,NA,223922467373187072,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
CS:  Different cancer types have diverse copy number alteration patterns that can trigger different treatments via Niki Schutz, #ismb,FALSE,NA,2012-07-13 23:29:55,FALSE,NA,223922234538983424,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
RT @Chris_Evelo: Uploaded my presentation about network extensions of pathways from the #netbiosig at #ISMB here http://t.co/hNnnAyqi,FALSE,NA,2012-07-13 23:28:30,FALSE,NA,223921875770814464,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,bffo
Chris Sander in Network Biology SIG and how translational medicine: tries to explain how complicated it all is in cancer biology #ISMB,FALSE,NA,2012-07-13 23:27:55,FALSE,NA,223921731088293888,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,bffo
Uploaded my presentation about network extensions of pathways from the #netbiosig at #ISMB here http://t.co/hNnnAyqi,FALSE,NA,2012-07-13 23:27:45,FALSE,NA,223921686645448704,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
Chris Sander: Signaling networks of drug response &amp; coda on protein folding - Perturbation biology in cancer cells. #ismb,FALSE,NA,2012-07-13 23:26:52,FALSE,NA,223921467073638402,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,iGenomics
RT @phylogenomics: Slideshow with audio of my talk from #ISMB #BOSC2012 on "Open Science" http://t.co/Jrd7055e #OpenAccess #OpenScience,FALSE,NA,2012-07-13 23:26:39,FALSE,NA,223921409909465088,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,tw_top_1z15el0
Mungall: "Keep blue balls for as long as possible". #guessthecontext #ismb,FALSE,NA,2012-07-13 23:25:21,FALSE,NA,223921086088216577,NA,&lt;a href=&quot;http://seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,froggleston
RT @NomiHarris: @cjfields Don't blame #bosc2012 for lack of outlets. #ISMB says they're too expensive to provide.,FALSE,NA,2012-07-13 23:23:57,FALSE,NA,223920732252553217,NA,&lt;a href=&quot;http://twitter.com/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,alexkalderimis
RT @phylogenomics: Slideshow with audio of my talk from #ISMB #BOSC2012 on "Open Science" http://t.co/Jrd7055e #OpenAccess #OpenScience,FALSE,NA,2012-07-13 23:23:44,FALSE,NA,223920677533655041,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,figshare
OntoMaton: a cool use of Google spreadsheets for collaborative ontology editing - http://t.co/Dezeo9lZ #ismb,FALSE,NA,2012-07-13 23:22:27,FALSE,NA,223920353020358656,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,alexkalderimis
RT @phylogenomics: Slides from my talk for #SCS2012 at #ISMB "Networks in genomics &amp; bioinformatics: from phylogeny to Twitter" http://t.co/csHUb3ps,FALSE,NA,2012-07-13 23:16:31,FALSE,NA,223918860053655554,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,iscbsc
Tulip Nandu: circadian networks in cyanobacteria by integrating gene expression, text mining, GO annotations, BLAST, + more. #ismb #scs2012,FALSE,NA,2012-07-13 23:16:06,FALSE,NA,223918756185911299,NA,&lt;a href=&quot;http://twitter.com/download/android&quot; rel=&quot;nofollow&quot;&gt;Twitter for Android&lt;/a&gt;,iscbsc
RT @bgood: #ismb http://t.co/GLLt6cmV sparql access to 300+ ontologies in bioportal.  gateway to semantic web of life science data? (maybe?, someday?),FALSE,NA,2012-07-13 23:12:07,FALSE,NA,223917755072655362,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,alexgarciac
RT @phylogenomics: Slides from my talk for #SCS2012 at #ISMB "Networks in genomics &amp; bioinformatics: from phylogeny to Twitter" http://t.co/csHUb3ps,FALSE,NA,2012-07-13 23:11:31,FALSE,NA,223917601749864448,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,mo_sander
RT @phylogenomics: Slideshow with audio of my talk from #ISMB #BOSC2012 on "Open Science" http://t.co/Jrd7055e #OpenAccess #OpenScience,FALSE,NA,2012-07-13 23:11:08,FALSE,NA,223917505536733184,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,alexgarciac
#ISMB #ISMB2012 IS_A is a nice tool,FALSE,NA,2012-07-13 23:09:45,FALSE,NA,223917157065555971,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,alexgarciac
Naya Tsalenko (Agilent) talking about EnViz a Cytoscape plugin for integrative statistical analysis of cplex data #ismb #netbiosig,FALSE,NA,2012-07-13 23:09:28,FALSE,NA,223917086110523394,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,Chris_Evelo
"If there is non-canonical editing, it is anything but widespread." -Ali Mortazavi #hitseq #ismb,FALSE,NA,2012-07-13 23:09:02,FALSE,NA,223916979810082816,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,mmarchin
you know what I said about the gr8 bandwidth at #ISMB … I take it back (more people showed up I guess!,FALSE,NA,2012-07-13 23:07:54,FALSE,NA,223916691598479360,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,bffo
